DATE,home_ownership,PERMIT,supply_ratio,new_houses,placements_US,AvgPrice_US,house_price_index,new_sales
1999-01-01,66.7,1732.0,3.9,875.0,357,40500,93.212,591.0
1999-04-01,66.7,1720.0,4.0,848.0,348,39700,93.675,464.0
1999-07-01,66.8,1665.0,4.1,863.0,351,40100,94.221,461.0
1999-10-01,66.9,1600.0,3.9,918.0,376,41300,94.789,605.0
2000-01-01,67.1,1640.0,4.0,888.0,354,41200,95.3489999999999,586.0
2000-04-01,67.3,1702.0,3.9,923.0,378,41600,95.979,526.0
2000-07-01,67.5,1682.0,4.0,900.0,388,42700,96.596,665.0
2000-10-01,67.5,1671.0,4.0,893.0,385,41900,97.2239999999999,570.0
2001-01-01,67.6,1551.0,4.5,826.0,395,41600,97.869,590.0
2001-04-01,67.8,1649.0,4.2,872.0,361,43400,98.529,567.0
2001-07-01,67.9,1672.0,4.3,863.0,385,42200,99.16,579.0
2001-10-01,67.9,1683.0,4.3,873.0,410,42400,99.8489999999999,514.0
2002-01-01,67.9,1727.0,4.3,873.0,378,42900,100.552,549.0
2002-04-01,67.8,1692.0,4.3,856.0,409,42700,101.339,609.0
2002-07-01,67.9,1651.0,4.3,900.0,388,41600,102.127,562.0
2002-10-01,68.2,1597.0,4.4,841.0,370,42000,102.922,559.0
2003-01-01,68.1,1543.0,4.4,857.0,333,42100,103.677,523.0
2003-04-01,68.2,1572.0,4.8,793.0,320,43300,104.423999999999,580.0
2003-07-01,68.3,1542.0,4.1,887.0,304,43100,105.054,575.0
2003-10-01,68.5,1552.0,4.4,848.0,317,43100,105.767999999999,582.0
2004-01-01,68.7,1570.0,4.0,912.0,322,43800,106.537,590.0
2004-04-01,69.4,1577.0,4.0,933.0,312,45000,107.381,583.0
2004-07-01,68.9,1614.0,4.2,880.0,320,45300,108.3,548.0
2004-10-01,69.1,1543.0,3.6,983.0,311,46200,109.137999999999,540.0
2005-01-01,69.2,1699.0,3.8,936.0,312,46100,109.846,533.0
2005-04-01,68.7,1656.0,3.7,963.0,325,45100,110.501,559.0
2005-07-01,68.7,1659.0,3.8,939.0,352,45200,111.107999999999,556.0
2005-10-01,68.9,1666.0,3.9,909.0,318,45100,111.65,555.0
2006-01-01,68.6,1665.0,4.0,885.0,316,45500,112.162,544.0
2006-04-01,68.8,1626.0,4.2,882.0,291,46500,112.795,614.0
2006-07-01,68.9,1598.0,4.2,880.0,283,46300,113.491,554.0
2006-10-01,68.8,1615.0,4.4,866.0,265,47300,114.167,615.0
2007-01-01,68.5,1565.0,4.4,853.0,251,47000,114.81,587.0
2007-04-01,68.3,1566.0,4.3,871.0,233,47100,115.307999999999,555.0
2007-07-01,68.0,1651.0,4.1,924.0,213,48100,115.854,616.0
2007-10-01,67.8,1680.0,3.8,979.0,205,48900,116.451,609.0
2008-01-01,67.9,1665.0,4.2,880.0,215,49000,117.142999999999,599.0
2008-04-01,68.1,1787.0,4.0,948.0,209,47900,117.844,541.0
2008-07-01,67.7,1691.0,4.1,923.0,192,47100,118.687,557.0
2008-10-01,67.5,1669.0,4.3,936.0,188,47800,119.611,545.0
2009-01-01,67.4,1716.0,4.0,978.0,176,47900,120.723999999999,499.0
2009-04-01,67.4,1758.0,4.2,957.0,204,50000,121.812,434.0
2009-07-01,67.4,1738.0,4.2,956.0,200,49400,122.886,435.0
2009-10-01,67.2,1695.0,4.0,1014.0,194,49200,123.83,377.0
2010-01-01,67.2,1803.0,3.9,1044.0,203,49800,124.777999999999,358.0
2010-04-01,66.9,1799.0,4.0,1006.0,194,49400,125.732999999999,387.0
2010-07-01,66.7,1771.0,4.0,1024.0,195,49700,126.667999999999,382.0
2010-10-01,66.5,1896.0,4.0,1048.0,194,49600,127.622,369.0
2011-01-01,66.5,1808.0,4.0,999.0,187,50800,128.46,416.0
2011-04-01,66.0,1854.0,4.5,936.0,184,49800,129.355,408.0
2011-07-01,66.1,1757.0,4.1,999.0,166,51300,130.148,439.0
2011-10-01,65.9,1803.0,4.1,1012.0,180,50500,130.884,479.0
2012-01-01,65.6,1835.0,3.9,1078.0,204,49400,131.735,503.0
2012-04-01,65.6,1875.0,3.5,1193.0,180,52000,132.649,499.0
2012-07-01,65.4,1885.0,3.6,1168.0,181,51400,133.776,515.0
2012-10-01,65.3,1966.0,3.5,1206.0,178,52000,134.967,504.0
2013-01-01,65.2,1961.0,3.8,1131.0,159,51500,136.293999999999,531.0
